text,safety,cleanliness
Have the cheapest gas in bedstuy,None,None
One of the must beautiful pieces of art I have ever seen! Please follow my snap: willid2004,None,None
Yo i go th this pool every monday with my aftererschool in the summer,None,None
"Great food court near 36th st between third and second avenues that has comfy couches,coffee, light snack foods,billiards,and games,it can be very relaxing . This is several whole blocks at ground floor level that has many vendors including Li-Lac Chocolates where you can buy your chocolates and see a machine that melts and drops the melted chocolate into molds on a conveyor belt, really fun to see along with the giant chocolate easter bunny and santas displayed next to it. There lots of food places with open courtyards across about a three block area. There is also a outlet for Design within Reach furniture store. In a different area there is also ping pong as well. This complex also houses many small different food vendors and there seems to be something new coming in every few months. During the summer there are multiple outside food vendors with tables and chairs with umbrellas set up in the open area courtyard. About two blocks away parallell along third avenue is a small mall with Bed Bath and Beyond,Microcenter for all your electonic needs apple,tvs gamer and hobby electronics,Lego, Robotics, Estes rockets and more. My hubby and I like to go shopping first then go here after.",None,None
Because it has public jimnacio,None,None
"Although weather was not good, the sight of the Statue of Liberty was too grand and magestic to miss. The sheer size of the Statue of Liberty combined with the science of the construction of the structure is amazing!",None,None
I like the price of the gas,None,None
Very nice clean roll organized polite staff,Positive,Positive
Went in for some coffee before work and had a great conversation with the gentleman working there,None,None
NICE PARK TO BRING KIDS AND ADULTS,Positive,Positive
the women's bathroom has a lock and key for extra security and it's really clean! life saver!,Positive,Positive
Amazing park with lots of funny people.,None,None
A lot of artist around and it's a very nice park.,Positive,Positive
"Nice park! Why are those solar panels pointed in random directions, though?",None,None
It's a good place for photography,None,None
Memorial to those killed in WW2. The eagle is magnificent.,None,None
Convenient to the Jackie Robinson and even has a small bathroom for public use.,None,None
A very nice place I invite you to visit starlight park,Positive,Positive
A site that must be visited. Boat ride to get there and a quiet place to hang out. Stunning views of the city,None,None
It's iconic and not to be missed. Arranged a guided tour ahead of time that was well worth it. Best recommendation is to be on the very first ferry to see the Statue of Liberty. The crowds and lines only get bigger and unfortunately can diminish your ability to take it all in.,None,None
Tranquil park with a play area and picnic tables.,Positive,Positive
great place to walk and have a quick lunch in the park..basketball courts and skateboarding. There are also work out bars,None,None
"This building is huge. I was there for a meeting and the staff that greets you is helpful and kind. FYI the entrance is a bit tricky to find since it is a big building, the main entrance is right on Jay st.",None,None
Just an amazing feeling to see history up close. From the boat ride to the walk up the statue it was great. Glad we went when it was a little colder because it wasn't too crowded. Gave an opportunity to really enjoy the visit.,None,None
The right place for a walk and a break by the sea and with plenty of greenery.,Positive,Positive
"Excellent shop. Fast, friendly service and conveniently located.",None,None
I like this park it's just that there is always a protest going on. There almost never a time to just enjoy the beauty of the nature in it because someone is always protesting or homeless people are one seat over.,Negative,Negative
Very impressive. Very nice souvenir. Very touching.,None,None
Great place for kids. Ten times better than the one in long island,Positive,Positive
"The Statue of Liberty (Liberty Enlightening the World; French: La Liberté éclairant le monde) is a colossal neoclassical sculpture on Liberty Island in New York Harbor within New York City, in the United States. The copper statue, a gift from the people of France to the people of the United States, was designed by French sculptor Frédéric Auguste Bartholdi and its metal framework was built by Gustave Eiffel. The statue was dedicated on October 28, 1886. The statue is a figure of Libertas, a robed Roman liberty goddess. She holds a torch above her head with her right hand, and in her left hand carries a tabula ansata inscribed JULY IV MDCCLXXVI (July 4, 1776 in Roman numerals), the date of the U.S. Declaration of Independence. A broken shackle and chain lie at her feet as she walks forward, commemorating the recent national abolition of slavery.[8] After its dedication, the statue became an icon of freedom and of the United States, seen as a symbol of welcome to immigrants arriving by sea. Bartholdi was inspired by a French law professor and politician, Édouard René de Laboulaye, who is said to have commented in 1865 that any monument raised to U.S. independence would properly be a joint project of the French and U.S. peoples. The Franco-Prussian War delayed progress until 1875, when Laboulaye proposed that the French finance the statue and the U.S. provide the site and build the pedestal. Bartholdi completed the head and the torch-bearing arm before the statue was fully designed, and these pieces were exhibited for publicity at international expositions. The torch-bearing arm was displayed at the Centennial Exposition in Philadelphia in 1876, and in Madison Square Park in Manhattan from 1876 to 1882. Fundraising proved difficult, especially for the Americans, and by 1885 work on the pedestal was threatened by lack of funds. Publisher Joseph Pulitzer, of the New York World, started a drive for donations to finish the project and attracted more than 120,000 contributors, most of whom gave less than a dollar. The statue was built in France, shipped overseas in crates, and assembled on the completed pedestal on what was then called Bedloe's Island. The statue's completion was marked by New York's first ticker-tape parade and a dedication ceremony presided over by President Grover Cleveland. The statue was administered by the United States Lighthouse Board until 1901 and then by the Department of War; since 1933 it has been maintained by the National Park Service as part of the Statue of Liberty National Monument, and is a major tourist attraction. The monument was temporarily closed from March 16, 2020 due to the COVID-19 pandemic until partially reopening on July 20, 2020.[9] Public access to the balcony around the torch has been barred since 1916.",None,None
No wonder it's one of the best place in New York City!,Positive,Positive
This is a great park in a good location. Always some really cool events going on here. Lots of play areas for children. A few stores and bars surrounding the area.,None,None
The park is so very beautiful,None,None
"One of the best people watching/hang out spots in NY. Easy to get to, lots of connections.",None,None
"Very historic place, tickets are more expensive compared to Staten Island, You could have a view of it from Staten Island. Since the ferry to Staten Island is free",None,None
Great place to eat lunch,None,None
Coffee on the go is good. I love that they have Ben and Jerry ice creams yummmm,None,None
Going up to the Crown was awesome!! Great experience for me and my 11 & 13 yr olds!,None,None
"Easy drop off, very friendly staff, eager to help with my luggage and immediately available shuttle to the airport. Pick-up was just as quick and driver was very friendly and eager to help",Positive,Positive
"Not only is this some of the cheapest gas in the area... it’s one of the cheapest Shell stations I’ve seen in the region. Including New Jersey. For those of us with cars that need 93 octane, and Pefer shell V-Power, this is the place to go!",None,None
"Very good fuel station where you can also find various items, whether edible and washing your car.",Positive,Positive
13019- was promptly driven to and from airport even with a changed flight home,Positive,Positive
Pleasant most of the time certain areas filled with marijuana smoke but avoidable,Positive,Negative
Always an interesting place to visit,None,None
It was chilly but fun,None,None
Wonderful place to be during the summer...,Positive,Positive
It's a great park in Manhattan. I would take a stroll here if I wanted to. Just be careful not to tumble down the steep slopes. There's danger hiding in those bushes.,None,Negative
"Friendly. Good choice of motor oils. They don't sell maintenance parts (oil filters, carburetors) if that's what you're looking for.",None,None
Very good ..nice and clean..very safe...,Positive,Positive
They don't let you use the microwave but they sell you cold pizza !!!!! The manager the very rude,Negative,Negative
Lowest price in the neighborhood,None,None
Nice bike path. Great views. Lots of greenery. Dominican culture. Water n bridge. Great people.,None,None
Very nice for kids and adults,Positive,Positive
nice view and relax time,None,None
It's ok the kids do have fun jumping etc!... but I think the service for a birthday party that I went to wasn't very professional and courteous for the price you pay !!..staff needs to be more friendly and.polite!!,None,Negative
"A place to share with the family, recommended in summer",None,None
A beautiful view of New York,None,None
Great place to take the kids...,Positive,Positive
People sleeping on the bench it is ñasty they taķeing a bath right in the park need fixing.,Negative,Negative
