time,rating,text,name,category,latitude,longitude,safety,cleanliness,infrastructure,nature,attractions,heritage,costs,other,created_at,id,lead_time,updated_at
1502577268143,5.0,"Union Square Park's playground, tho on the small side, is modern and filled with fun things for kids to play with. There's a giant orb/slide for climbing and sliding and a few other modern playground items in addition to slides and swings. Can get very crowded at peak times.",Union Square Park,Park||City park||Tourist attraction,40.735823499999995,-73.9905215,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,neutral,,,,
1555841530590,2.0,The supervisor was very rude to me. The pool it self was clean. The staff members picked at me.,Liberty Pool,Public swimming pool||Outdoor swimming pool,40.701406,-73.78407899999999,negative,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative,,,,
1582098542744,5.0,Lovely experience,Strawberry Fields,Tourist attraction||Historical landmark||Scenic spot,40.7758392,-73.9747655,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1502312736547,4.0,The bus went right to the airport in Jersey. The only thing that was strange was that there was no information about the bus written anywhere. The reason we found it was because a strange guy off the street showed it to us and asked for a tip and our Subway cards. The information desk had a line of about 39 people. There should have been a sign or something. The bus was right outside.,Port Authority Midtown Bus Terminal,Bus station,40.7569006,-73.9902798,negative,notmentioned,negative,notmentioned,notmentioned,notmentioned,negative,negative,,,,
1523188235887,3.0,"It's a little inside, and it's probably out after a short stroll, but you can also take a walk around, very close to the food market!",Artists & Fleas Williamsburg,Flea market||Boutique||Clothing store||Fashion accessories store||Gift shop||Health and beauty shop||Home goods store||Jewelry store||Night market||Record store||Vintage clothing store,40.719896,-73.9612521,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,neutral,,,,
1490704779251,5.0,I love the garden. All the sports and entertainment center. Bring out all your family and friends for a great day or night,Madison Square Garden,Arena||Event venue||Stadium||Tourist attraction,40.7505045,-73.9934387,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1533691947293,5.0,Just fantastic as always Rod Stewart!!,Madison Square Garden,Arena||Event venue||Stadium||Tourist attraction,40.7505045,-73.9934387,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1537379165584,1.0,"Charge a fee do something, but I will never go back on that island if there is only one ferry working back and fourth. With the safety factor that will always be there, it takes way to long to get back and fourth.",Governors Island National Monument,Monument||Historical landmark||Tourist attraction,40.6919879,-74.01599499999999,negative,notmentioned,negative,notmentioned,notmentioned,notmentioned,negative,notmentioned,,,,
1502489062624,5.0,This place is about people of all time periods in history.,Brooklyn Museum,Art museum||Museum||Tourist attraction,40.6712062,-73.9636306,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,neutral,,,,
1584193866244,4.0,Beautiful!,St. Paul's Chapel of Trinity Church Wall Street,Episcopal church||Place of worship||Tourist attraction,40.7113281,-74.0091831,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,,,,
