time,rating,text,name,category,latitude,longitude,safety,cleanliness,infrastructure,nature,attractions,heritage,costs,other
1488848131142,5.0,Its very clean,Barclays Center,Arena||Sports complex,40.6826465,-73.97541559999999,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned
1566219657247,4.0,"Wonderful little park gets pretty crowded but there's plenty to do like playing soccer on the new field, hand ball, basketball or just sit around people watching.",St. James Park,Park||Basketball court||Dog park||Handball court||Playground||Soccer field||Tennis court||Tourist attraction,40.865023699999995,-73.89777269999999,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,positive
1565261391638,5.0,Amazing views ......,Brooklyn Heights Promenade,Park||Promenade||Tourist attraction,40.6961936,-73.9975036,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned
1523535728211,4.0,Clean,Hart Playground,Playground||Basketball court||Park,40.7488224,-73.8974478,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned
1514986741842,3.0,"Love it, what up with the weed near the pond",Flushing Meadows Corona Park,Park||Tourist attraction,40.7400275,-73.8406953,notmentioned,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,positive
1567729170112,5.0,"Best tennis tournament in the world. The atmosphere is uplifting and fun. Expensive experience if you enjoy playing or watching tennis, but worthy.",USTA Billie Jean King National Tennis Center,Sports complex||Tennis club||Tennis court,40.7503676,-73.8456118,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,negative,positive
1558865020971,5.0,Great for nature walks.,Van Cortlandt Park,Park||Tourist attraction,40.8972233,-73.8860668,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned
1548865572989,5.0,Such a fun pop up museum. Wish it would travel around U.S.,Mickey: The True Original Exhibition place,Museum,40.7424999,-74.00792679999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1416412963970,4.0,"The Bronx Zoo is a gigantic space with various animals like giraffes, black swans, and frogs the size of your thumb. Peacocks roam the walking paths and share the space freely with visitors. Go early, you can spend the entire day walking around the zoo. Bring comfortable shoes, warm layers, and snacks in the winter.",Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,positive
1476906046407,4.0,"Huge playground, with a long track for running or biking. Unfortunately some areas don't have lights and is very hard to see at night.",Seth Low Playground,Playground||Park||Tourist attraction,40.6081073,-73.9863087,notmentioned,notmentioned,negative,notmentioned,positive,notmentioned,notmentioned,negative
1608538550859,4.0,With a great view of Manhattan,Jane's Carousel,Amusement park ride||Tourist attraction,40.7044242,-73.9923835,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned
1505154310337,4.0,"Not everything is horrible, some good American paintings and exhibitions",Whitney Museum of American Art,Modern art museum||Art museum||Museum||Tourist attraction,40.7395877,-74.0088629,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1505961599968,3.0,No ones done a 3 star yet. Great place,Virginia Playground,Playground,40.8343242,-73.8620456,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1572360641383,5.0,"Interactive art! Each floor a new view, very beautiful. Highly recommend going at the end of the day, it is possible to see the sunset on the Hudson River.",Vessel,Tourist attraction,40.7538073,-74.0021537,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive
1567618436988,5.0,really nice shop!!,Fun City Tattoo,Tattoo shop||Historical landmark,40.727324,-73.98493599999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1452651854199,1.0,They damaged my car and have yet to respond to my claim. Do not park here.,Icon Parking,Parking garage||Parking lot,40.7155089,-74.01634849999999,negative,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,negative
1530034723763,5.0,great view of Manhatan padlock area on pier 1 a continuous vortex in the park,Pier 1 Playground,Playground||Park||Tourist attraction,40.703104,-73.99617959999999,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned
1535333042642,4.0,Nice,Central Park Zoo,Zoo||Tourist attraction,40.767778,-73.9718335,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1579446891434,5.0,..Mucha takes good depth,Richman (Echo) Park,Park||Tourist attraction,40.8494665,-73.90162769999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1523807543827,3.0,"The pool it is wonderful, but the check in can be rude, the personnel are so tough they dont know How distinguiish a teenager from a senior",Flushing Meadows Corona Park Aquatic Center,Public swimming pool||Ice skating rink||Indoor swimming pool||Swimming pool,40.7516878,-73.8374802,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,negative
1442114874058,3.0,Very weak.,Museum of the City of New York,Local history museum||History museum||Museum||Tourist attraction,40.7924939,-73.95190889999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1602689600472,3.0,"Too crowded during a pandemic, they let people in before other people exited.",Zabar's,Gourmet grocery store||Coffee shop||Kosher grocery store||Tourist attraction,40.784759,-73.9796504,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1610495441653,3.0,What you expect? Not much here,River Plaza,Shopping mall,40.8730677,-73.9083538,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1543803693126,4.0,Concession and ticket price are high,Madison Square Garden,Arena||Event venue||Stadium||Tourist attraction,40.7505045,-73.9934387,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative,notmentioned
1568250572582,5.0,"Pro: beautiful views, unique creative architecture, fascinating historical displays and educational programs. Cons: excessive, annoying, redundant security. Once through the metal detector x-ray machine should be enough.",Museum of Jewish Heritage – A Living Memorial to the Holocaust,History museum||Heritage museum||Museum||Tourist attraction,40.7059861,-74.0185472,negative,notmentioned,notmentioned,positive,positive,positive,notmentioned,negative
1495310885477,4.0,Too far away from a subway- but overall I like the open concept mall idea.,The Shops at Atlas Park,Shopping mall||Clothing store||Restaurant,40.708664299999995,-73.8693992,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,positive
1528354212258,4.0,Will be better by next year.,Staten Island Mall,Shopping mall,40.581845099999995,-74.1658599,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1556661452061,5.0,Very nice,Herald Square,Historical landmark,40.7499778,-73.9877771,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1499362927260,5.0,Iconic. The most beautiful building in NYC,Chrysler Building,Building||Entertainment and recreation||Tourist attraction,40.7516208,-73.97550199999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned
1497816901567,5.0,No long wait time!!!!!,47-50 Sts - Rockefeller Ctr,Subway station,40.758849999999995,-73.9811861,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned
1565613913867,5.0,Typical NY spot,Flatiron Building,Building||Historical place||Tourist attraction,40.7410605,-73.9896986,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1542202195357,5.0,Beautiful. Vintage building,Flatiron Building,Building||Historical place||Tourist attraction,40.7410605,-73.9896986,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned
1582680055026,5.0,Small but beautiful kids playground.,Real Good Playground,City park||Tourist attraction,40.7353331,-73.85787309999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned
1543238424820,5.0,Fabulous show. A must see!,Museum of Jewish Heritage – A Living Memorial to the Holocaust,History museum||Heritage museum||Museum||Tourist attraction,40.7059861,-74.0185472,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1583200856652,2.0,Bad service,East River Plaza,Shopping mall,40.795168,-73.9310357,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1507585795574,3.0,Small park but not the best due to the homeless people. Just be careful when around this area.,Macri Triangle,Park,40.7144015,-73.95202909999999,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1509807360423,5.0,The museum had a nice collection of train coaches and miniature buses. My son loved to play around them. It could have some more exhibits to explain how the transit department works. You can spend about 2 to 3 hours here.,New York Transit Museum,Museum||Gift shop||Non-profit organization||Rail museum||Tourist attraction,40.6903933,-73.98984,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,positive
1568763148125,5.0,"Wonderful slice of history. Great statue, museums, views of area and harbor.",Statue of Liberty National Monument,Historical landmark||Monument||National park||Tourist attraction,40.6892494,-74.04450039999999,notmentioned,notmentioned,notmentioned,positive,positive,positive,notmentioned,positive
1562109435105,5.0,Beautiful historical site. The tour was amazing,Grand Central Terminal,Train station,40.7527262,-73.9772294,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,positive
1572383522340,5.0,Beautiful building. Too bad there’s no observation deck. But I really liked the foyer.,Chrysler Building,Building||Entertainment and recreation||Tourist attraction,40.7516208,-73.97550199999999,notmentioned,notmentioned,negative,notmentioned,notmentioned,positive,notmentioned,notmentioned
1502731489678,2.0,"Too crowded, and water not clean at all",Jacob Riis Park,Park||Public beach||Tourist attraction,40.567069499999995,-73.8717702,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1571631477300,4.0,"So, let me tell you a little story. I like full stop. They are so cute, yet so word removed they would end you.",Whitney Museum of American Art,Modern art museum||Art museum||Museum||Tourist attraction,40.7395877,-74.0088629,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1515463124988,5.0,I love going to this mall. There are so many stores and choices.,Green Acres Mall,Shopping mall||Clothing store||Restaurant,40.6627613,-73.7196783,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1612354003313,1.0,Issue was resolved. Will change review score after we go and really experienced it.,Museum of Ice Cream NYC,Museum||Tourist attraction,40.7238545,-73.99791669999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1509675765818,5.0,The place is awesome!,Angel Orensanz Foundation,Reform synagogue||Tourist attraction,40.7211655,-73.9857196,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1535033025431,5.0,Amazing details,Flatiron Building,Building||Historical place||Tourist attraction,40.7410605,-73.9896986,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1483946578930,4.0,The park is the gateway to get to the Statue of Liberty.,The Battery,Park||Tourist attraction,40.703140999999995,-74.0159996,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,neutral
1608559597344,5.0,"I went to see the holiday lights. The lantern animals were so beautiful! And it was a few days after the snowstorm so it was even prettier. I loved watching the ice sculptor, it was a unique experience. The bat puppeteer was hilarious! Everyone was really nice and welcoming.",Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive
1562084990488,5.0,Awesome place to worship,The Brooklyn Tabernacle,Non-denominational church||Church||Tourist attraction,40.690787,-73.987409,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1564916967139,5.0,Great for a walk and is l centrally ocated to get around on the island!,Ward's Island Bridge,Bridge||Tourist attraction,40.7860427,-73.9371559,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,positive
1572749153341,5.0,The 49 parade of hallowen a unique spectacle,Theodore Roosevelt Park,Park||Tourist attraction,40.781850899999995,-73.97476019999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1526795742571,5.0,Watch out for skunks,Pelham Bay Park,Park||Athletic park||Basketball court||Dog park||Nature preserve||Playground||Soccer field||Tourist attraction,40.867014399999995,-73.81006339999999,notmentioned,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned
1563669507280,5.0,"Located in the center of flushing, you can find a bit of everything from every parts of China food wise.",Golden Shopping Mall,Shopping mall,40.7571953,-73.8293377,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1526621964439,4.0,Beautiful park. Lots of places to sit down and the lines for liberty island were clear.,The Battery,Park||Tourist attraction,40.703140999999995,-74.0159996,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,positive
1580129077268,5.0,Everything all in one Mall...,Gateway Center,Shopping mall,40.6525,-73.8713889,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1601851011426,5.0,I love walking the full 3 miles plus of the park. Also their farmers market on Saturdays is great.,Prospect Park,Park||Tourist attraction,40.6602037,-73.9689558,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive
1575338885960,5.0,Great Show The Rockettes. Highly recommended ...,Radio City Music Hall,Performing arts theater||Concert hall||Live music venue||Tourist attraction,40.759975999999995,-73.9799772,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1574051885517,5.0,The tour was very informative. I will definitely return.,Historic Richmond Town,Historical society||History museum||Museum||Tourist attraction,40.5709205,-74.1456038,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1561951826571,4.0,It's clean!,Brookville Park,Park||Tourist attraction,40.6628115,-73.74318389999999,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned
1594659575739,5.0,Good friends,Linden Park,Park||Athletic track||Basketball court||Football Field||Soccer field||Tourist attraction,40.6589543,-73.8871125,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1617503751086,5.0,Nice place for kids to play.,Bayside Fields,Park||Athletic field,40.7722577,-73.78544509999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1497110374878,4.0,"Very fun, kid friendly, great exhibits",Cooper Hewitt Smithsonian Design Museum,Museum||Art museum||Historical landmark||Tourist attraction,40.7843958,-73.9578732,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1463870859369,5.0,Curry,Freshkills Park,Park||Tourist attraction,40.5772365,-74.1858183,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1555728847576,4.0,Zen.,North Meadow,Park||Tourist attraction,40.7921355,-73.9582846,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1504498358203,4.0,One of the best moles,Staten Island Mall,Shopping mall,40.581845099999995,-74.1658599,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1561858491233,5.0,"It was amazing!!! They had a West African dance class today. Dance instructor/ teacher sister Esther with her amazing style, grace and knowledge of West Africa. Fire, fire, fire",Marcus Garvey Park,Park||Basketball court||Dog park||Playground||Tourist attraction,40.8044257,-73.9437629,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1605404661481,5.0,wonderful view,Bethesda Terrace,Tourist attraction||Historical landmark||Scenic spot,40.7739489,-73.9709661,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned
1512750355731,3.0,One of the swings has been super squeaky for a while.,Caserta Playground,Playground,40.8373952,-73.8538521,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned
1544648351569,5.0,"Most visit specially for the building style, permanent and new temporary exhibition regarding American original cultures",National Museum of the American Indian,National museum||Museum||Tourist attraction,40.7039861,-74.01368889999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned
1565922593939,5.0,Mike was awesome. Made it super fun and interesting,Amazing Escape Room Staten Island,Escape room center||Adventure sports||Adventure sports center||Amusement center||Corporate entertainment service||Event venue||Recreation center||Tourist attraction,40.6091777,-74.1483562,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1574610237827,5.0,Really cool neighborhood park and play ground. There are a couple of basketball courts and a softball field. There is a historic house in the middle of the park and next to it there is a stone oven and counter that is open to the public and they have community cooking once every month. Very nice to walk around and to just sit and enjoy some time.,Washington Park,Park||Historical landmark||Playground||Skateboard park||Tourist attraction,40.6732383,-73.9852861,notmentioned,notmentioned,positive,positive,positive,positive,notmentioned,positive
1567990824406,5.0,The beauty of New Yorks Architecture.,Flatiron Building,Building||Historical place||Tourist attraction,40.7410605,-73.9896986,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned
1537562414678,5.0,great fun can't wait to do it again,Escape the Room NYC,Escape room center||Amusement center||Corporate entertainment service||Tourist attraction,40.743339,-73.990338,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1564948058437,5.0,Love this place. Animals are well taken care and commute is easy,New York Aquarium,Aquarium||Tourist attraction,40.574010099999995,-73.9760005,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,positive
1566531866980,5.0,Very beautifull,Radio City Music Hall,Performing arts theater||Concert hall||Live music venue||Tourist attraction,40.759975999999995,-73.9799772,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1604610118460,5.0,Peaceful love to walk with my daughter and do my running.,Jerome Park,Park||Tourist attraction,40.879284299999995,-73.8914654,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1482157106593,4.0,"Very nice place, but always crowded",Chelsea Market,Shopping mall,40.7424509,-74.0059581,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,negative
1559441588047,4.0,Shopping center is OK but road over there one of the worst on SI.,Eltingville Shopping Center,Shopping mall,40.5455209,-74.16080769999999,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1527131949146,5.0,Nice view! Great place to visit.,The Battery,Park||Tourist attraction,40.703140999999995,-74.0159996,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1584638813142,5.0,Great place to visit,59 St - Columbus Circle,Subway station,40.7686521,-73.9814538,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1566923084519,5.0,Amazing. We took a walk in the park and the view was amazing. Extremely clean,The Battery,Park||Tourist attraction,40.703140999999995,-74.0159996,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1584440191818,2.0,It's nothing fancy just a regular few stores to buy what you may need,River Plaza,Shopping mall,40.8730677,-73.9083538,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1521988713482,3.0,I hate this mall all they offer is stuff for women and their is barley stuff for men and boys Screw this mall.,Queens Center,Shopping mall||Clothing store||Restaurant,40.734483399999995,-73.8696793,notmentioned,notmentioned,notmentioned,notmentioned,negative,notmentioned,notmentioned,negative
1493939173020,1.0,To many people around the courts,Concourse Plaza,Shopping mall,40.8252165,-73.9202784,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative
1563642968818,4.0,"It seems to be, in the midst of all the hubbub New York, the center of the Western world. Definitely more than Washington. Here the consumerism is brought to the stratospheric power and the tourists turn astonished staring at each step. Every corner offers a starting point, offers a photo, exalted idea. It is manifest that the US show, puffing out his chest, in the world.",Madison Square Park,Park||Tourist attraction,40.7421872,-73.9880175,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1532573757909,5.0,Great atmosphere and food!,LIC Flea & Food,Flea market||Tourist attraction,40.7475414,-73.9543394,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1493747727980,4.0,Well it's Central Park. Lots to see.,Sheep Meadow,Park||Tourist attraction,40.7717813,-73.9748418,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned
1498652230318,4.0,I liked the skateboard park,Golconda Playground,Playground,40.6977698,-73.9827207,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned
1566344311034,5.0,So cute,Museum of the City of New York,Local history museum||History museum||Museum||Tourist attraction,40.7924939,-73.95190889999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1563932658402,5.0,Environment is very good,Astoria Park,Park||Tourist attraction,40.7785364,-73.92283359999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1486269059361,5.0,Always come here love it all the time. Can't wait to come again,Drumm Triangle,Park,40.6993794,-73.8883068,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1516043108708,4.0,Cool building with some shops worth checking out. Nice views of Manhattan and the bridges.,Empire Stores,Shopping mall,40.7033814,-73.9916008,notmentioned,notmentioned,positive,positive,positive,positive,notmentioned,notmentioned
1484417167592,3.0,I like it,New York Hall Of Science,Science museum||Children's museum||Tourist attraction,40.7472583,-73.8516925,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1535039979685,5.0,Huge beautiful park clean and comfortable,Herbert Von King Park,Park||Baseball field||Dog park||Handball court||Playground||Tourist attraction,40.689612,-73.946732,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1527539804397,5.0,"Relaxing, good vegetation, kids playground, dog compound, benches, picnic grounds.",Washington Square Park,Park||Tourist attraction,40.7308838,-73.997332,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,positive
1518371716376,1.0,No working restroom,Hugh J. Grant Circle,Park,40.8330305,-73.8609006,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned
1561007203668,5.0,Best afternoon spot for a pint and chat with new friends.,The Stonewall Inn,Gay bar||Bar||Tourist attraction,40.7338326,-74.00216259999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1537655146435,3.0,"I think children will like this place more than adults. Unless you are a huge aircraft and aircraft carrier fan, this place will be somewhat boring. Don't go in the submarine if you are claustrophobic.","Intrepid Sea, Air & Space Museum",Museum||Historical place||Historical landmark||Tourist attraction,40.7645266,-73.99960759999999,notmentioned,notmentioned,notmentioned,notmentioned,neutral,notmentioned,notmentioned,notmentioned
1556071009670,4.0,Good place to go with the wife and kids : ),Brooklyn Botanic Garden,Botanical garden||Environmental organization||Tourist attraction||Wedding venue,40.669509999999995,-73.9625044,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1553830565764,3.0,"Why bother having a parking lot, people just park wherever they want.",Tottenville Commons,Shopping mall,40.5176647,-74.23520119999999,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,negative
1592170690292,5.0,A beautiful park to enjoy with family,Bowne Park,Park||Tourist attraction,40.7704771,-73.8072049,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1567891831017,4.0,Alright,Tompkins Square Park,City park||Basketball court||Dog park||Handball court||Park||Playground||Public swimming pool,40.726429499999995,-73.9817841,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1513997148376,4.0,Nice restaurants on second,New World Mall,Shopping mall,40.7593415,-73.8291722,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned
1469315010194,5.0,"Incredible sunset views, not over-crowded. One of the best parks in the city.",Bushwick Inlet Park,Park||Tourist attraction,40.7223295,-73.9613074,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1598749161534,5.0,"Large zoo that has a good variety of animals. It is very well maintained. You need to pay for parking, which isn't included in the ticket price. They also charge extra for certain exhibits like the Gorilla forest. Bring your own water because they charge $4 for a bottle of water.",Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,positive,negative,positive,positive,notmentioned,negative,positive
